code,question,question_type,standard_answer,importance_score,occurrence_count
,RAG 的基本流程是什么？,RAG 检索增强生成,RAG 是检索增强生成，基本流程可以分为离线建库和在线问答两部分。离线阶段先对原始文档做解析、清洗、去重和切分，再使用 Embedding 模型把 Chunk 转成向量，并连同原文、来源、标题、页码、版本和权限标签写入向量库。在线阶段用户提问后，系统会先做问题理解或 Query Rewrite，然后通过向量检索、BM25 或混合检索召回候选内容，再用 Rerank 精排，最后把高相关证据拼入 Prompt，让大模型基于证据生成答案并返回引用。生产环境还需要加入权限过滤、空召回兜底、日志追踪、评测和反馈闭环。,98.8,44
,Naive RAG、Advanced RAG 和 Modular RAG 有什么区别？,RAG 检索增强生成,Naive RAG 是最基础的“切分-向量化-TopK 检索-拼上下文-生成”链路，实现快但容易受召回质量、上下文冗余和幻觉影响。Advanced RAG 在此基础上加入查询改写、多路召回、Rerank、上下文压缩、引用校验和评测闭环，用来提升复杂问题的召回率与忠实度。Modular RAG 更强调模块化编排，把路由器、检索器、重排器、生成器、记忆、工具和评测组件做成可插拔能力，适合多知识源、多任务类型和生产级治理场景。,97.2,43
,RAG 为什么比直接 Prompt 更适合企业知识库问答？,RAG 检索增强生成,企业知识库问答通常要求资料最新、权限可控、答案可追溯。直接 Prompt 主要依赖模型参数和一次性上下文，无法稳定覆盖企业私有资料，也很难证明答案来源；RAG 会在回答前检索受控知识源，把命中的证据、版本和引用带入生成过程，因此更适合制度、产品文档、内部流程和历史工单等经常变化的知识。需要注意的是，RAG 不是天然正确，仍要做好文档解析、权限过滤、召回排序和拒答策略。,97.2,43
,RAG 和 Fine-tuning 的区别是什么，什么场景分别适合？,RAG 检索增强生成,RAG 和 Fine-tuning 解决的问题不同。RAG 主要解决知识注入、知识更新和答案可追溯，适合企业知识库、制度文档、产品文档等变化频繁且需要引用来源的场景；Fine-tuning 主要改变模型的行为模式、输出风格、格式遵循能力和领域表达习惯，适合稳定任务能力沉淀。实际项目中通常会组合使用：用 RAG 提供事实证据，用 Prompt 或微调约束回答风格和任务格式。,95.6,42
,一个生产级 RAG 系统从文档到回答的链路如何设计？,RAG 检索增强生成,生产级 RAG 可以按链路拆：文档接入层负责上传、解析、去噪、权限标签和版本；索引层负责切分、Embedding、元数据和增量更新；检索层负责 Query Rewrite、多路召回、过滤、去重和 Rerank；生成层负责证据拼装、引用、拒答和结构化输出；平台层负责评测、监控、缓存、成本和反馈闭环。最需要强调的是，RAG 不是接一个向量库就完了，而是每一层都要能观测、能调优、能回滚。,95.6,42
,文档解析在 RAG 中为什么重要？,RAG 检索增强生成,文档解析决定了 RAG 的知识质量。解析阶段需要尽量保留标题层级、段落结构、页码、表格、图片 OCR、代码块和来源信息，同时去掉页眉页脚、广告、目录等噪声。如果解析结果丢结构、断语义或混入噪声，后续切分、Embedding、召回和生成都会受到影响，因此生产系统通常需要针对 PDF、Word、网页和表格使用不同解析策略，并对解析结果做抽样校验。,94.0,41
,Chunking 的目标是什么？,RAG 检索增强生成,Chunking 的目标是把文档切成适合检索和生成的最小知识单元，同时保持语义完整。切得太小会丢标题、前提和上下文；切得太大会让向量相似度被无关内容稀释，也会增加 Prompt 成本。实践中通常按标题层级、段落、表格行组、代码块或语义边界切分，并保留父级标题、来源、页码和相邻片段关系，最后用业务评测验证召回效果。,92.4,40
,PDF、Word、网页和表格解析分别有哪些坑？,RAG 检索增强生成,不同文档格式的解析问题不一样。PDF 容易出现跨页断句、页眉页脚噪声、表格错位和扫描件 OCR 错误；Word 要注意标题层级、目录、批注、页眉页脚和嵌入对象；网页要去掉导航、广告、侧边栏和重复模块；表格要保留表头、行列关系、单位和主键，不能简单拍平成一段文本。文档解析质量会直接影响 Chunk 质量，因此生产环境通常需要格式专用解析器、去噪规则和抽样校验。,92.4,40
,Chunk size 和 chunk overlap 应该如何选择？,RAG 检索增强生成,Chunk size 和 overlap 需要通过业务评测确定，不能固定套用一个值。一般可以先根据文档类型给初始范围，例如中文知识库从 500 到 1000 token 试起，overlap 从 10% 到 20% 试起。Chunk 太小会丢上下文，太大会稀释语义相似度并增加 Token 成本；overlap 太小容易断语义，太大又会造成重复召回。最终应通过召回率、答案忠实度、引用准确率、延迟和成本综合调参。,90.8,39
,Markdown、代码和表格内容应该如何切分？,RAG 检索增强生成,Markdown 内容适合按标题层级切分，并把父级标题带入 Chunk，避免片段脱离上下文。代码内容适合按文件、类、函数、方法或注释块切分，尽量不要把一个完整函数切断。表格内容要保留表头、行列含义、单位和关键字段，必要时把每一行转成结构化自然语言描述。核心原则是让每个 Chunk 被单独召回时仍然具备完整语义，同时又不会过长导致召回不准。,89.3,38
